"Zarinpal Online Payment","پرداخت آنلاین زرین پال - زرین گیت"
"Zarinpal Zaringate Payment Gateway","درگاه پرداخت زرین پال - زرین گیت"
"This extension is from <a href=""http://www.persian-magento.ir"" target=""_blank"">Persian Magento</a>","این افزونه توسط گروه <a href=""http://www.persian-magento.ir"" target=""_blank"">پرشین مجنتو</a> و به درخواست زرین پال تهیه شده است .‏"
"Enabled","فعال است"
"Test Mode","حالت تست"
"Title","عنوان"
"Webservice Gateway URL","آدرس دروازه وب سرويس"
"Merchant ID","کد مرچنت"
"Payment Gateway URL","آدرس دروازه پرداخت"
"SSL Enabled (for callback URL)","SSL فعال؟ (برای لینک بازگشت)"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"You will be redirected to Zarinpal website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وبسایت سایت زرین پال ارجاع داده خواهید شد."
"Your order has been received.","سفارش شما دریافت شد."
"Yours order track number is %s","شماره پیگیری سفارش شما عبارت است از %s"
"Click <a href=""%s"">here to print</a> a copy of your order confirmation.","برای چاپ تائیدیه سفارش خود <a href=""%s"">اینجا</a> کلیک کنید."
"Zarinpal Transaction ID: %s","شماره تراکنش سایت زرین پال: %s"
